,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Dec 16, 2018",3236.27,3305.75,3233.82,3252.84,"3,744,248,994","56,685,436,644"
1,"Dec 09, 2018",3473.23,3685.31,3469.09,3614.23,"4,947,372,847","62,942,160,928"
2,"Dec 02, 2018",4200.73,4301.52,4110.98,4139.88,"5,262,697,895","72,050,487,506"
3,"Nov 25, 2018",3880.78,4120.87,3585.06,4009.97,"6,825,640,000","69,749,265,801"
4,"Nov 18, 2018",5559.74,5653.61,5559.74,5623.54,"4,159,680,000","97,753,714,643"
5,"Nov 11, 2018",6413.63,6423.25,6350.17,6411.27,"3,939,060,000","111,373,453,740"
6,"Nov 04, 2018",6365.47,6388.63,6294.57,6376.13,"4,390,020,000","110,689,215,104"
7,"Oct 28, 2018",6482.66,6502.28,6447.91,6486.39,"3,445,190,000","112,518,434,372"
8,"Oct 21, 2018",6490.09,6556.38,6476.00,6482.35,"3,253,610,000","112,369,106,369"
9,"Oct 14, 2018",6288.49,6363.21,6280.15,6290.93,"3,085,320,000","108,972,590,373"
10,"Oct 07, 2018",6590.68,6641.49,6557.04,6602.95,"3,306,630,000","114,298,880,311"
11,"Sep 30, 2018",6604.71,6643.78,6566.54,6625.56,"4,002,280,000","114,608,519,470"
12,"Sep 23, 2018",6715.32,6766.15,6679.42,6710.63,"4,197,500,000","115,990,387,532"
13,"Sep 16, 2018",6536.68,6544.33,6460.10,6517.18,"3,273,730,000","112,562,367,224"
14,"Sep 09, 2018",6223.38,6446.26,6201.22,6300.86,"3,671,890,000","108,747,090,915"
15,"Sep 02, 2018",7189.58,7306.31,7132.16,7272.72,"4,329,540,000","125,427,780,027"
16,"Aug 26, 2018",6754.64,6774.75,6620.75,6707.26,"3,295,500,000","115,585,205,491"
17,"Aug 19, 2018",6422.57,6537.98,6361.55,6506.07,"3,311,170,000","112,031,838,393"
18,"Aug 12, 2018",6283.65,6409.85,6237.50,6322.69,"5,665,250,000","108,790,259,014"
19,"Aug 05, 2018",7031.08,7102.77,6940.70,7068.48,"3,679,110,000","121,526,079,384"
20,"Jul 29, 2018",8205.82,8272.26,8141.18,8218.46,"4,107,190,016","141,185,844,808"
21,"Jul 22, 2018",7417.80,7537.95,7383.82,7418.49,"3,695,460,096","127,336,615,249"
22,"Jul 15, 2018",6272.70,6403.46,6256.51,6359.64,"3,285,459,968","109,074,579,938"
23,"Jul 08, 2018",6857.80,6885.91,6747.98,6773.88,"3,386,210,048","116,097,021,279"
24,"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82,"4,788,259,840","109,366,024,632"
25,"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23,"4,566,909,952","105,646,571,668"
26,"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27,"3,104,019,968","111,134,754,810"
27,"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02,"5,804,839,936","115,948,312,827"
28,"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25,"4,851,760,128","131,808,021,256"
29,"May 27, 2018",7362.08,7381.74,7270.96,7368.22,"4,056,519,936","125,695,017,596"
30,"May 20, 2018",8246.99,8562.41,8205.24,8513.25,"5,191,059,968","145,109,512,565"
31,"May 13, 2018",8515.49,8773.55,8395.12,8723.94,"5,866,379,776","148,587,777,457"
32,"May 06, 2018",9845.31,9940.14,9465.25,9654.80,"7,222,280,192","164,316,605,278"
33,"Apr 29, 2018",9346.41,9531.49,9193.71,9419.08,"8,853,000,192","160,182,287,342"
34,"Apr 22, 2018",8925.06,9001.64,8779.61,8802.46,"6,629,899,776","149,585,589,886"
35,"Apr 15, 2018",7999.33,8338.42,7999.33,8329.11,"5,244,480,000","141,427,138,383"
36,"Apr 08, 2018",6919.98,7111.56,6919.98,7023.52,"3,652,499,968","119,162,880,482"
37,"Apr 01, 2018",7003.06,7060.95,6526.87,6844.23,"4,532,100,096","116,026,809,075"
38,"Mar 25, 2018",8612.81,8682.01,8449.10,8495.78,"4,569,880,064","143,914,265,310"
39,"Mar 18, 2018",7890.52,8245.51,7397.99,8223.68,"6,639,190,016","139,201,713,268"
40,"Mar 11, 2018",8852.78,9711.89,8607.12,9578.63,"6,296,370,176","162,009,710,243"
41,"Mar 04, 2018",11497.40,11512.60,11136.10,11512.60,"6,084,149,760","194,567,395,376"
42,"Feb 25, 2018",9796.42,9923.22,9407.06,9664.73,"5,706,939,904","163,204,062,358"
43,"Feb 18, 2018",11123.40,11349.80,10326.00,10551.80,"8,744,009,728","178,040,648,022"
44,"Feb 11, 2018",8616.13,8616.13,7931.10,8129.97,"6,122,189,824","137,064,586,975"
45,"Feb 04, 2018",9175.70,9334.87,8031.22,8277.01,"7,073,549,824","139,433,682,759"
46,"Jan 28, 2018",11475.30,12040.30,11475.30,11786.30,"8,350,360,064","198,389,948,175"
47,"Jan 21, 2018",12889.20,12895.90,11288.20,11600.10,"9,935,179,776","195,089,460,991"
48,"Jan 14, 2018",14370.80,14511.80,13268.00,13772.00,"11,084,099,584","231,413,491,364"
49,"Jan 07, 2018",17527.30,17579.60,16087.70,16477.60,"15,866,000,384","276,634,797,271"
50,"Dec 31, 2017",12897.70,14377.40,12755.60,14156.40,"12,136,299,520","237,465,823,980"
51,"Dec 24, 2017",14608.20,14626.00,12747.70,13925.80,"11,572,299,776","233,414,163,395"
52,"Dec 17, 2017",19475.80,20089.00,18974.10,19140.80,"13,314,599,936","320,576,568,850"
53,"Dec 10, 2017",15168.40,15850.60,13226.60,15455.40,"13,433,299,968","258,615,393,665"
54,"Dec 03, 2017",11082.70,11858.70,10862.00,11323.20,"6,608,309,760","189,302,389,920"
55,"Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,"5,475,579,904","155,850,742,551"
56,"Nov 19, 2017",7766.03,8101.91,7694.10,8036.49,"3,149,319,936","134,124,196,206"
57,"Nov 12, 2017",6295.45,6625.05,5519.01,5950.07,"8,957,349,888","99,226,193,603"
58,"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,"2,380,410,112","123,449,206,170"
59,"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,"2,859,040,000","102,482,445,590"
60,"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,"2,034,630,016","99,981,911,326"
61,"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,"1,976,039,936","94,403,031,755"
62,"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,"1,313,869,952","76,589,293,760"
63,"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,"1,208,210,048","73,094,870,674"
64,"Sep 24, 2017",3796.15,3796.15,3666.90,3682.84,"768,014,976","61,081,971,156"
65,"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,"1,239,149,952","59,377,995,376"
66,"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94,"1,679,090,048","68,263,826,801"
67,"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96,"1,933,190,016","75,812,181,334"
68,"Aug 27, 2017",4345.10,4416.59,4317.29,4382.88,"1,537,459,968","72,441,993,792"
69,"Aug 20, 2017",4189.31,4196.29,4069.88,4087.66,"2,109,769,984","67,520,478,838"
70,"Aug 13, 2017",3880.04,4208.39,3857.80,4073.26,"3,159,089,920","67,230,528,989"
71,"Aug 06, 2017",3257.61,3293.29,3155.60,3213.94,"1,105,030,016","53,006,426,108"
72,"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18,"705,942,976","45,435,913,868"
73,"Jul 23, 2017",2808.10,2832.18,2653.94,2730.40,"1,072,840,000","44,957,775,265"
74,"Jul 16, 2017",1991.98,2058.77,1843.03,1929.82,"1,182,870,016","31,748,939,343"
75,"Jul 09, 2017",2572.61,2635.49,2517.59,2518.44,"527,856,000","41,397,076,604"
76,"Jul 02, 2017",2436.40,2514.28,2394.84,2506.47,"803,747,008","41,167,015,221"
77,"Jun 25, 2017",2607.25,2682.26,2552.12,2589.41,"1,161,100,032","42,495,001,716"
78,"Jun 18, 2017",2655.35,2662.10,2516.33,2548.29,"1,178,659,968","41,788,418,974"
79,"Jun 11, 2017",2942.41,2996.60,2840.53,2958.11,"1,752,400,000","48,471,330,146"
80,"Jun 04, 2017",2547.79,2585.89,2452.54,2511.81,"1,355,120,000","41,124,262,595"
81,"May 28, 2017",2054.08,2267.34,2054.08,2155.80,"1,147,139,968","35,264,171,110"
82,"May 21, 2017",2067.03,2119.08,2037.50,2041.20,"1,147,859,968","33,361,091,114"
83,"May 14, 2017",1800.86,1831.42,1776.62,1808.91,"437,196,000","29,540,290,794"
84,"May 07, 2017",1579.47,1596.72,1559.76,1596.71,"1,080,029,952","26,053,077,975"
85,"Apr 30, 2017",1321.87,1347.91,1314.92,1347.89,"413,115,008","21,975,104,909"
86,"Apr 23, 2017",1231.92,1232.20,1203.94,1207.21,"258,951,008","19,665,994,145"
87,"Apr 16, 2017",1172.61,1187.22,1172.61,1182.94,"183,231,008","19,255,408,766"
88,"Apr 09, 2017",1176.57,1197.21,1171.86,1187.87,"242,343,008","19,320,511,927"
89,"Apr 02, 2017",1080.61,1107.59,1075.45,1102.17,"514,187,008","17,911,915,755"
90,"Mar 26, 2017",974.02,1007.96,954.19,966.72,"303,668,000","15,698,465,531"
