,BTC,Date,bitcoin
0,8,2018-12-16,20
1,7,2018-12-09,16
2,10,2018-12-02,14
3,9,2018-11-25,24
4,9,2018-11-18,31
5,5,2018-11-11,18
6,3,2018-11-04,11
7,4,2018-10-28,11
8,4,2018-10-21,14
9,4,2018-10-14,21
10,4,2018-10-07,14
11,5,2018-09-30,13
12,5,2018-09-23,18
13,6,2018-09-16,22
14,7,2018-09-09,19
15,7,2018-09-02,16
16,5,2018-08-26,17
17,7,2018-08-19,14
18,8,2018-08-12,20
19,8,2018-08-05,18
20,9,2018-07-29,21
21,10,2018-07-22,18
22,8,2018-07-15,18
23,3,2018-07-08,13
24,5,2018-07-01,22
25,6,2018-06-24,26
26,4,2018-06-17,20
27,8,2018-06-10,24
28,6,2018-06-03,17
29,7,2018-05-27,20
30,9,2018-05-20,18
31,7,2018-05-13,18
32,12,2018-05-06,19
33,10,2018-04-29,22
34,11,2018-04-22,24
35,9,2018-04-15,25
36,13,2018-04-08,29
37,11,2018-04-01,30
38,13,2018-03-25,32
39,10,2018-03-18,41
40,14,2018-03-11,33
41,14,2018-03-04,33
42,11,2018-02-25,34
43,12,2018-02-18,38
44,7,2018-02-11,35
45,21,2018-02-04,66
46,22,2018-01-28,48
47,16,2018-01-21,49
48,25,2018-01-14,72
49,21,2018-01-07,55
50,24,2017-12-31,58
51,27,2017-12-24,70
52,40,2017-12-17,100
53,33,2017-12-10,90
54,27,2017-12-03,90
55,23,2017-11-26,64
56,11,2017-11-19,41
57,13,2017-11-12,40
58,10,2017-11-05,40
59,12,2017-10-29,35
60,9,2017-10-22,29
61,9,2017-10-15,29
62,11,2017-10-08,27
63,7,2017-10-01,14
64,9,2017-09-24,19
65,9,2017-09-17,26
66,13,2017-09-10,40
67,13,2017-09-03,27
68,4,2017-08-27,22
69,9,2017-08-20,28
70,9,2017-08-13,25
71,10,2017-08-06,22
72,6,2017-07-30,25
73,10,2017-07-23,22
74,7,2017-07-16,22
75,6,2017-07-09,18
76,7,2017-07-02,14
77,10,2017-06-25,21
78,12,2017-06-18,21
79,10,2017-06-11,22
80,8,2017-06-04,22
81,8,2017-05-28,21
82,12,2017-05-21,43
83,8,2017-05-14,25
84,9,2017-05-07,21
85,7,2017-04-30,12
86,2,2017-04-23,11
87,2,2017-04-16,7
88,2,2017-04-09,9
89,2,2017-04-02,6
90,2,2017-03-26,9
91,4,2017-03-19,12
92,2,2017-03-12,8
93,3,2017-03-05,13
94,2,2017-02-26,12
95,2,2017-02-19,10
96,3,2017-02-12,9
97,3,2017-02-05,6
98,3,2017-01-29,7
99,3,2017-01-22,9
100,3,2017-01-15,8
101,6,2017-01-08,7
102,6,2017-01-01,12
103,3,2016-12-25,10
104,4,2016-12-18,9
105,3,2016-12-11,7
106,2,2016-12-04,6
107,3,2016-11-27,6
108,3,2016-11-20,4
109,1,2016-11-13,5
110,2,2016-11-06,7
111,1,2016-10-30,4
112,3,2016-10-23,6
113,4,2016-10-16,6
114,1,2016-10-09,5
115,2,2016-10-02,3
116,1,2016-09-25,3
117,2,2016-09-18,5
118,4,2016-09-11,5
119,4,2016-09-04,5
120,2,2016-08-28,5
121,2,2016-08-21,5
122,2,2016-08-14,3
123,2,2016-08-07,5
124,5,2016-07-31,6
125,1,2016-07-24,4
126,1,2016-07-17,5
127,2,2016-07-10,6
128,4,2016-07-03,7
129,4,2016-06-26,6
